x_m,y_m
5.400000000000016342e+00,1.110000000000002984e+01
5.400000000000016342e+00,1.120000000000003126e+01
5.400000000000016342e+00,1.135000000000003162e+01
5.400000000000016342e+00,1.150000000000003197e+01
5.400000000000016342e+00,1.165000000000003233e+01
5.400000000000016342e+00,1.180000000000003268e+01
5.400000000000016342e+00,1.190000000000003411e+01
5.400000000000016342e+00,1.205000000000003446e+01
5.400000000000016342e+00,1.220000000000003482e+01
5.400000000000016342e+00,1.235000000000003340e+01
5.400000000000016342e+00,1.245000000000003482e+01
5.400000000000016342e+00,1.260000000000003517e+01
5.400000000000016342e+00,1.275000000000003553e+01
5.400000000000016342e+00,1.290000000000003588e+01
5.404195804195820685e+00,1.305000000000003624e+01
5.398018648018664045e+00,1.315000000000003411e+01
5.380186480186496034e+00,1.325000000000003553e+01
5.360023310023326104e+00,1.335000000000003695e+01
5.346853146853161931e+00,1.345000000000003837e+01
5.350000000000015632e+00,1.355000000000003624e+01
5.350000000000015632e+00,1.365000000000003766e+01
5.350000000000015632e+00,1.375000000000003908e+01
5.350000000000015632e+00,1.390000000000003766e+01
5.350000000000015632e+00,1.400000000000003908e+01
5.350000000000015632e+00,1.415000000000003766e+01
5.350000000000015632e+00,1.425000000000003908e+01
5.350000000000015632e+00,1.440000000000003944e+01
5.350000000000015632e+00,1.455000000000003979e+01
5.350000000000015632e+00,1.470000000000004015e+01
5.350000000000015632e+00,1.485000000000004050e+01
5.350000000000015632e+00,1.500000000000004263e+01
5.350000000000015632e+00,1.515000000000004121e+01
5.350000000000015632e+00,1.525000000000004263e+01
5.350000000000015632e+00,1.540000000000004121e+01
5.350000000000015632e+00,1.550000000000004263e+01
5.350000000000015632e+00,1.560000000000004405e+01
5.350000000000015632e+00,1.575000000000004263e+01
5.350000000000015632e+00,1.585000000000004405e+01
5.350000000000015632e+00,1.600000000000004263e+01
5.350000000000015632e+00,1.610000000000004405e+01
5.350000000000015632e+00,1.620000000000004547e+01
5.350000000000015632e+00,1.630000000000004690e+01
5.350000000000015632e+00,1.645000000000004547e+01
5.350000000000015632e+00,1.655000000000004690e+01
5.350000000000015632e+00,1.670000000000004547e+01
5.350000000000015632e+00,1.680000000000004690e+01
5.350000000000015632e+00,1.690000000000004832e+01
5.353146853146868445e+00,1.700000000000004619e+01
5.339976689976705160e+00,1.710000000000004405e+01
5.319813519813535230e+00,1.720000000000004547e+01
5.301981351981366331e+00,1.730000000000004690e+01
5.295804195804210579e+00,1.740000000000004832e+01
5.300000000000014921e+00,1.750000000000004974e+01
5.300000000000014921e+00,1.765000000000004832e+01
5.300000000000014921e+00,1.775000000000004974e+01
5.300000000000014921e+00,1.790000000000004832e+01
5.300000000000014921e+00,1.800000000000004974e+01
5.300000000000014921e+00,1.815000000000004832e+01
5.300000000000014921e+00,1.825000000000004974e+01
5.304195804195819264e+00,1.835000000000005116e+01
5.298018648018662624e+00,1.845000000000005258e+01
5.280186480186494613e+00,1.855000000000005045e+01
5.260023310023324683e+00,1.865000000000005187e+01
5.246853146853160510e+00,1.875000000000004974e+01
5.250000000000014211e+00,1.885000000000005116e+01
5.250000000000014211e+00,1.895000000000005258e+01
5.250000000000014211e+00,1.905000000000005400e+01
5.250000000000014211e+00,1.915000000000005542e+01
5.250000000000014211e+00,1.930000000000005045e+01
5.250000000000014211e+00,1.940000000000005542e+01
5.250000000000014211e+00,1.955000000000005045e+01
5.250000000000014211e+00,1.965000000000005542e+01
5.250000000000014211e+00,1.980000000000005400e+01
5.250000000000014211e+00,1.990000000000005542e+01
5.250000000000014211e+00,2.000000000000005684e+01
5.250000000000014211e+00,2.015000000000005542e+01
5.250000000000014211e+00,2.025000000000005684e+01
5.250000000000014211e+00,2.040000000000005542e+01
5.250000000000014211e+00,2.050000000000005684e+01
5.250000000000014211e+00,2.060000000000005826e+01
5.250000000000014211e+00,2.075000000000005684e+01
5.250000000000014211e+00,2.090000000000005542e+01
5.250000000000014211e+00,2.100000000000005684e+01
5.254195804195818553e+00,2.110000000000005826e+01
5.248018648018662802e+00,2.120000000000005969e+01
5.230186480186494791e+00,2.130000000000005755e+01
5.210023310023325749e+00,2.140000000000005542e+01
5.196853146853163352e+00,2.150000000000005684e+01
5.200000000000017053e+00,2.160000000000005826e+01
5.200000000000017053e+00,2.170000000000005969e+01
5.200000000000017053e+00,2.180000000000006111e+01
5.200000000000017053e+00,2.190000000000006253e+01
5.200000000000017053e+00,2.205000000000006111e+01
5.200000000000017053e+00,2.215000000000006253e+01
5.200000000000017053e+00,2.230000000000006111e+01
5.200000000000017053e+00,2.240000000000006253e+01
5.200000000000017053e+00,2.255000000000006111e+01
5.200000000000017053e+00,2.265000000000006253e+01
5.204195804195821395e+00,2.275000000000006395e+01
5.202214452214468210e+00,2.285839160839167050e+01
5.165151515151530148e+00,2.298531468531474786e+01
5.052214452214466966e+00,2.301538461538467573e+01
4.900000000000014566e+00,2.299580419580425783e+01
4.800000000000014921e+00,2.300000000000006040e+01
4.700000000000013500e+00,2.300000000000006040e+01
4.550000000000013145e+00,2.300000000000006040e+01
4.400000000000012790e+00,2.300000000000006040e+01
4.250000000000012434e+00,2.300000000000006040e+01
4.150000000000011902e+00,2.300000000000006040e+01
4.000000000000012434e+00,2.300000000000006040e+01
3.900000000000011458e+00,2.300000000000006040e+01
3.750000000000011546e+00,2.300000000000006040e+01
3.650000000000011013e+00,2.300000000000006040e+01
3.550000000000010481e+00,2.300000000000006040e+01
3.450000000000010392e+00,2.300000000000006040e+01
